sender_id,receiver_id,timestamp,message_length,sender_department,sender_location,sender_age,receiver_department,receiver_location,receiver_age,month
79,166,2021-06-06 18:05:11,14,Sales,France,33,Engineering,France,38,6
79,256,2021-06-06 18:07:17,67,Sales,France,33,Marketing,France,48,6
79,260,2021-06-06 18:08:37,62,Sales,France,33,Operations,US,48,6
221,3,2021-06-07 00:20:17,20,IT,Germany,54,Operations,US,33,6
221,6,2021-06-07 00:23:24,25,IT,Germany,54,Sales,UK,50,6
221,211,2021-06-07 00:32:11,13,IT,Germany,54,Operations,US,30,6
260,51,2021-06-07 02:21:56,22,Operations,US,48,Admin,UK,30,6
260,199,2021-06-07 02:22:19,82,Operations,US,48,IT,US,55,6
260,79,2021-06-07 02:22:43,35,Operations,US,48,Sales,France,33,6
260,211,2021-06-07 02:23:23,42,Operations,US,48,Operations,US,30,6
260,181,2021-06-07 02:25:03,20,Operations,US,48,Sales,Germany,39,6
128,51,2021-06-07 06:16:27,56,Sales,France,47,Admin,UK,30,6
128,51,2021-06-07 06:20:55,22,Sales,France,47,Admin,UK,30,6
128,236,2021-06-07 06:24:54,39,Sales,France,47,Sales,US,58,6
128,51,2021-06-07 06:29:11,87,Sales,France,47,Admin,UK,30,6
128,51,2021-06-07 06:31:13,26,Sales,France,47,Admin,UK,30,6
260,51,2021-06-07 07:05:07,31,Operations,US,48,Admin,UK,30,6
260,79,2021-06-07 07:06:25,83,Operations,US,48,Sales,France,33,6
128,211,2021-06-07 07:06:29,47,Sales,France,47,Operations,US,30,6
286,221,2021-06-07 07:09:59,31,Sales,UK,52,IT,Germany,54,6
317,315,2021-06-07 07:11:58,84,Operations,US,37,IT,US,36,6
128,51,2021-06-07 07:14:00,34,Sales,France,47,Admin,UK,30,6
286,34,2021-06-07 07:15:38,55,Sales,UK,52,Marketing,Germany,46,6
317,315,2021-06-07 07:17:18,86,Operations,US,37,IT,US,36,6
128,236,2021-06-07 07:18:12,27,Sales,France,47,Sales,US,58,6
260,51,2021-06-07 07:18:38,66,Operations,US,48,Admin,UK,30,6
286,34,2021-06-07 07:20:35,62,Sales,UK,52,Marketing,Germany,46,6
286,34,2021-06-07 07:30:51,61,Sales,UK,52,Marketing,Germany,46,6
144,193,2021-06-07 07:36:01,28,Sales,US,50,Sales,UK,45,6
144,288,2021-06-07 07:48:58,87,Sales,US,50,Marketing,Germany,35,6
144,88,2021-06-07 07:54:39,34,Sales,US,50,IT,US,23,6
144,290,2021-06-07 08:04:36,63,Sales,US,50,Admin,France,31,6
144,48,2021-06-07 08:09:32,28,Sales,US,50,IT,France,34,6
144,51,2021-06-07 08:13:26,29,Sales,US,50,Admin,UK,30,6
144,99,2021-06-07 08:21:36,66,Sales,US,50,Engineering,UK,34,6
144,193,2021-06-07 08:29:13,77,Sales,US,50,Sales,UK,45,6
144,99,2021-06-07 08:32:48,18,Sales,US,50,Engineering,UK,34,6
144,322,2021-06-07 08:34:40,27,Sales,US,50,Sales,Brasil,50,6
144,193,2021-06-07 08:38:45,30,Sales,US,50,Sales,UK,45,6
144,193,2021-06-07 08:39:58,15,Sales,US,50,Sales,UK,45,6
144,99,2021-06-07 08:41:26,49,Sales,US,50,Engineering,UK,34,6
144,99,2021-06-07 08:50:04,49,Sales,US,50,Engineering,UK,34,6
144,99,2021-06-07 08:53:52,20,Sales,US,50,Engineering,UK,34,6
144,193,2021-06-07 08:59:33,31,Sales,US,50,Sales,UK,45,6
144,99,2021-06-07 09:01:57,21,Sales,US,50,Engineering,UK,34,6
144,193,2021-06-07 09:03:43,25,Sales,US,50,Sales,UK,45,6
144,99,2021-06-07 09:04:22,20,Sales,US,50,Engineering,UK,34,6
144,193,2021-06-07 09:06:28,23,Sales,US,50,Sales,UK,45,6
144,99,2021-06-07 09:08:20,25,Sales,US,50,Engineering,UK,34,6
144,48,2021-06-07 09:11:50,64,Sales,US,50,IT,France,34,6
144,48,2021-06-07 09:12:09,60,Sales,US,50,IT,France,34,6
144,99,2021-06-07 09:14:46,23,Sales,US,50,Engineering,UK,34,6
144,48,2021-06-07 09:15:52,40,Sales,US,50,IT,France,34,6
128,329,2021-06-07 09:34:16,28,Sales,France,47,IT,UK,39,6
332,333,2021-06-07 09:40:43,49,Operations,US,40,IT,UK,47,6
128,324,2021-06-07 09:50:26,31,Sales,France,47,Sales,US,40,6
332,281,2021-06-07 10:11:44,77,Operations,US,40,Sales,France,35,6
332,281,2021-06-07 10:13:38,57,Operations,US,40,Sales,France,35,6
128,324,2021-06-07 10:17:06,79,Sales,France,47,Sales,US,40,6
332,281,2021-06-07 10:17:30,55,Operations,US,40,Sales,France,35,6
128,324,2021-06-07 10:21:01,37,Sales,France,47,Sales,US,40,6
332,281,2021-06-07 10:21:31,87,Operations,US,40,Sales,France,35,6
332,281,2021-06-07 10:22:56,30,Operations,US,40,Sales,France,35,6
332,281,2021-06-07 10:23:14,83,Operations,US,40,Sales,France,35,6
332,281,2021-06-07 10:23:37,56,Operations,US,40,Sales,France,35,6
332,281,2021-06-07 10:31:21,64,Operations,US,40,Sales,France,35,6
128,221,2021-06-07 10:32:03,25,Sales,France,47,IT,Germany,54,6
260,211,2021-06-07 10:32:53,24,Operations,US,48,Operations,US,30,6
128,324,2021-06-07 10:33:53,61,Sales,France,47,Sales,US,40,6
337,281,2021-06-07 10:36:06,20,Sales,US,37,Sales,France,35,6
337,260,2021-06-07 10:36:55,52,Sales,US,37,Operations,US,48,6
337,281,2021-06-07 10:37:18,63,Sales,US,37,Sales,France,35,6
337,281,2021-06-07 10:39:59,79,Sales,US,37,Sales,France,35,6
128,329,2021-06-07 10:55:34,70,Sales,France,47,IT,UK,39,6
260,338,2021-06-07 11:02:18,88,Operations,US,48,Operations,US,47,6
260,338,2021-06-07 11:02:38,44,Operations,US,48,Operations,US,47,6
317,311,2021-06-07 18:44:52,22,Operations,US,37,Engineering,US,23,6
344,209,2021-06-07 19:23:22,43,Sales,US,35,Admin,US,41,6
332,308,2021-06-07 21:24:20,66,Operations,US,40,Sales,Germany,39,6
317,308,2021-06-07 22:23:32,17,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:25:11,74,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:29:07,11,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:30:30,75,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:31:48,74,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:32:04,74,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:32:32,70,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:33:08,78,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:33:26,38,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:34:55,86,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:35:25,54,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:39:14,15,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:39:59,51,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:40:21,63,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:40:40,67,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:42:48,80,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:43:01,67,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:43:24,67,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:44:15,65,Operations,US,37,Sales,Germany,39,6
317,308,2021-06-07 22:44:43,29,Operations,US,37,Sales,Germany,39,6
317,263,2021-06-07 22:48:01,50,Operations,US,37,Operations,France,35,6
317,263,2021-06-07 22:49:38,28,Operations,US,37,Operations,France,35,6
317,263,2021-06-07 22:49:53,18,Operations,US,37,Operations,France,35,6
317,263,2021-06-07 22:50:01,82,Operations,US,37,Operations,France,35,6
317,263,2021-06-07 22:55:05,84,Operations,US,37,Operations,France,35,6
317,254,2021-06-07 23:07:41,29,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:07:52,80,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:08:13,80,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:08:37,47,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:08:51,23,Operations,US,37,Sales,France,44,6
317,263,2021-06-07 23:09:17,63,Operations,US,37,Operations,France,35,6
317,254,2021-06-07 23:12:00,61,Operations,US,37,Sales,France,44,6
317,263,2021-06-07 23:12:56,51,Operations,US,37,Operations,France,35,6
317,254,2021-06-07 23:13:11,54,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:13:28,43,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:13:39,56,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:18:42,10,Operations,US,37,Sales,France,44,6
317,254,2021-06-07 23:19:02,60,Operations,US,37,Sales,France,44,6
337,254,2021-06-07 23:20:05,65,Sales,US,37,Sales,France,44,6
337,254,2021-06-07 23:20:49,23,Sales,US,37,Sales,France,44,6
337,254,2021-06-07 23:23:16,30,Sales,US,37,Sales,France,44,6
337,281,2021-06-07 23:27:13,64,Sales,US,37,Sales,France,35,6
332,281,2021-06-07 23:29:16,58,Operations,US,40,Sales,France,35,6
317,191,2021-06-07 23:29:46,37,Operations,US,37,Engineering,US,48,6
317,254,2021-06-07 23:29:56,70,Operations,US,37,Sales,France,44,6
332,281,2021-06-07 23:31:06,88,Operations,US,40,Sales,France,35,6
317,191,2021-06-07 23:32:34,46,Operations,US,37,Engineering,US,48,6
317,191,2021-06-07 23:33:10,33,Operations,US,37,Engineering,US,48,6
337,281,2021-06-07 23:34:14,75,Sales,US,37,Sales,France,35,6
337,281,2021-06-07 23:35:35,60,Sales,US,37,Sales,France,35,6
317,263,2021-06-07 23:36:20,72,Operations,US,37,Operations,France,35,6
317,254,2021-06-07 23:36:31,83,Operations,US,37,Sales,France,44,6
332,281,2021-06-08 00:00:43,31,Operations,US,40,Sales,France,35,6
332,281,2021-06-08 00:01:12,78,Operations,US,40,Sales,France,35,6
337,281,2021-06-08 00:01:47,68,Sales,US,37,Sales,France,35,6
337,281,2021-06-08 00:02:17,85,Sales,US,37,Sales,France,35,6
337,281,2021-06-08 00:11:34,76,Sales,US,37,Sales,France,35,6
337,281,2021-06-08 00:11:43,82,Sales,US,37,Sales,France,35,6
337,281,2021-06-08 00:13:27,73,Sales,US,37,Sales,France,35,6
337,281,2021-06-08 00:13:44,37,Sales,US,37,Sales,France,35,6
317,281,2021-06-08 00:16:46,79,Operations,US,37,Sales,France,35,6
317,319,2021-06-08 01:38:05,83,Operations,US,37,Marketing,Germany,25,6
317,308,2021-06-08 01:41:37,56,Operations,US,37,Sales,Germany,39,6
332,281,2021-06-08 02:41:47,62,Operations,US,40,Sales,France,35,6
237,191,2021-06-08 03:11:08,45,Operations,France,41,Engineering,US,48,6
332,308,2021-06-08 03:30:30,57,Operations,US,40,Sales,Germany,39,6
332,308,2021-06-08 03:33:08,79,Operations,US,40,Sales,Germany,39,6
332,308,2021-06-08 03:33:59,77,Operations,US,40,Sales,Germany,39,6
317,308,2021-06-08 03:42:24,61,Operations,US,37,Sales,Germany,39,6
332,263,2021-06-08 03:52:19,60,Operations,US,40,Operations,France,35,6
328,52,2021-06-08 04:04:31,32,Sales,US,54,IT,UK,51,6
332,316,2021-06-08 05:46:43,15,Operations,US,40,Admin,France,27,6
221,211,2021-06-08 06:05:10,43,IT,Germany,54,Operations,US,30,6
221,128,2021-06-08 06:07:11,56,IT,Germany,54,Sales,France,47,6
317,263,2021-06-08 07:04:54,14,Operations,US,37,Operations,France,35,6
162,161,2021-06-08 07:35:57,20,Sales,US,41,Sales,US,51,6
344,128,2021-06-08 07:49:57,87,Sales,US,35,Sales,France,47,6
332,281,2021-06-08 08:10:59,47,Operations,US,40,Sales,France,35,6
332,281,2021-06-08 08:11:27,30,Operations,US,40,Sales,France,35,6
332,281,2021-06-08 08:12:03,27,Operations,US,40,Sales,France,35,6
332,281,2021-06-08 08:12:37,31,Operations,US,40,Sales,France,35,6
286,221,2021-06-08 08:36:32,30,Sales,UK,52,IT,Germany,54,6
286,367,2021-06-08 08:49:53,46,Sales,UK,52,Operations,Brasil,45,6
286,202,2021-06-08 08:56:08,41,Sales,UK,52,Engineering,Brasil,34,6
286,202,2021-06-08 08:56:19,32,Sales,UK,52,Engineering,Brasil,34,6
286,202,2021-06-08 08:56:26,17,Sales,UK,52,Engineering,Brasil,34,6
128,236,2021-06-08 09:05:45,23,Sales,France,47,Sales,US,58,6
144,281,2021-06-08 09:20:39,30,Sales,US,50,Sales,France,35,6
144,88,2021-06-08 09:24:58,20,Sales,US,50,IT,US,23,6
144,142,2021-06-08 09:28:38,15,Sales,US,50,Admin,US,57,6
144,369,2021-06-08 09:34:01,16,Sales,US,50,Engineering,US,56,6
144,370,2021-06-08 09:35:04,26,Sales,US,50,Engineering,Germany,36,6
144,359,2021-06-08 09:36:17,78,Sales,US,50,Sales,US,35,6
144,283,2021-06-08 09:45:35,70,Sales,US,50,Operations,France,40,6
144,48,2021-06-08 09:55:44,38,Sales,US,50,IT,France,34,6
332,281,2021-06-08 10:02:42,88,Operations,US,40,Sales,France,35,6
128,324,2021-06-08 10:17:44,86,Sales,France,47,Sales,US,40,6
332,281,2021-06-08 10:37:29,30,Operations,US,40,Sales,France,35,6
337,72,2021-06-08 10:50:31,20,Sales,US,37,Marketing,France,55,6
337,72,2021-06-08 11:05:41,87,Sales,US,37,Marketing,France,55,6
332,352,2021-06-08 11:16:15,44,Operations,US,40,IT,France,42,6
128,236,2021-06-08 11:37:00,77,Sales,France,47,Sales,US,58,6
317,311,2021-06-08 17:09:35,17,Operations,US,37,Engineering,US,23,6
79,365,2021-06-08 19:17:50,43,Sales,France,33,Sales,France,26,6
79,386,2021-06-08 19:19:13,39,Sales,France,33,Admin,Germany,47,6
386,50,2021-06-08 19:27:44,47,Admin,Germany,47,Admin,US,33,6
386,260,2021-06-08 19:29:04,46,Admin,Germany,47,Operations,US,48,6
386,50,2021-06-08 19:37:46,32,Admin,Germany,47,Admin,US,33,6
386,387,2021-06-08 19:40:58,58,Admin,Germany,47,Operations,US,29,6
386,50,2021-06-08 19:42:18,70,Admin,Germany,47,Admin,US,33,6
389,254,2021-06-08 22:24:29,26,Sales,France,39,Sales,France,44,6
337,63,2021-06-08 22:27:38,45,Sales,US,37,Sales,France,38,6
386,387,2021-06-08 23:31:25,63,Admin,Germany,47,Operations,US,29,6
386,343,2021-06-08 23:32:43,83,Admin,Germany,47,Sales,France,36,6
260,386,2021-06-09 00:00:12,50,Operations,US,48,Admin,Germany,47,6
332,308,2021-06-09 00:33:14,56,Operations,US,40,Sales,Germany,39,6
389,254,2021-06-09 05:00:42,48,Sales,France,39,Sales,France,44,6
389,62,2021-06-09 05:01:11,72,Sales,France,39,Operations,France,34,6
389,303,2021-06-09 05:01:33,47,Sales,France,39,IT,US,49,6
79,365,2021-06-09 05:09:48,42,Sales,France,33,Sales,France,26,6
344,403,2021-06-09 06:11:07,63,Sales,US,35,Engineering,US,26,6
260,283,2021-06-09 06:12:12,47,Operations,US,48,Operations,France,40,6
344,403,2021-06-09 06:23:03,11,Sales,US,35,Engineering,US,26,6
344,403,2021-06-09 06:33:26,40,Sales,US,35,Engineering,US,26,6
344,403,2021-06-09 06:37:19,25,Sales,US,35,Engineering,US,26,6
344,403,2021-06-09 06:40:37,48,Sales,US,35,Engineering,US,26,6
389,303,2021-06-09 07:23:26,14,Sales,France,39,IT,US,49,6
344,172,2021-06-09 07:33:36,10,Sales,US,35,Admin,US,41,6
317,281,2021-06-09 07:45:21,67,Operations,US,37,Sales,France,35,6
317,308,2021-06-09 07:46:33,55,Operations,US,37,Sales,Germany,39,6
317,281,2021-06-09 08:11:57,54,Operations,US,37,Sales,France,35,6
317,281,2021-06-09 08:12:18,43,Operations,US,37,Sales,France,35,6
317,281,2021-06-09 08:16:06,17,Operations,US,37,Sales,France,35,6
422,212,2021-06-09 09:29:35,19,Sales,Brasil,43,Engineering,US,59,6
144,283,2021-06-09 09:57:13,85,Sales,US,50,Operations,France,40,6
144,48,2021-06-09 10:10:05,82,Sales,US,50,IT,France,34,6
144,338,2021-06-09 10:11:57,15,Sales,US,50,Operations,US,47,6
144,413,2021-06-09 10:17:09,10,Sales,US,50,Sales,US,52,6
389,68,2021-06-09 10:19:00,84,Sales,France,39,Admin,France,50,6
144,374,2021-06-09 10:27:11,43,Sales,US,50,Sales,France,52,6
422,335,2021-06-09 11:16:10,25,Sales,Brasil,43,Engineering,France,58,6
422,194,2021-06-09 13:44:01,72,Sales,Brasil,43,Admin,US,28,6
317,308,2021-06-09 17:12:32,70,Operations,US,37,Sales,Germany,39,6
386,399,2021-06-09 17:21:55,33,Admin,Germany,47,Operations,Brasil,44,6
144,283,2021-06-09 20:19:41,57,Sales,US,50,Operations,France,40,6
389,62,2021-06-09 23:36:32,18,Sales,France,39,Operations,France,34,6
389,68,2021-06-09 23:37:46,27,Sales,France,39,Admin,France,50,6
389,62,2021-06-09 23:44:19,41,Sales,France,39,Operations,France,34,6
286,416,2021-06-10 00:43:54,26,Sales,UK,52,Engineering,France,53,6
317,308,2021-06-10 01:42:41,30,Operations,US,37,Sales,Germany,39,6
317,281,2021-06-10 01:43:08,11,Operations,US,37,Sales,France,35,6
260,448,2021-06-10 02:54:55,54,Operations,US,48,Admin,UK,25,6
260,283,2021-06-10 02:55:33,81,Operations,US,48,Operations,France,40,6
260,236,2021-06-10 02:58:28,69,Operations,US,48,Sales,US,58,6
317,316,2021-06-10 04:12:58,10,Operations,US,37,Admin,France,27,6
389,454,2021-06-10 04:23:02,56,Sales,France,39,Admin,US,47,6
389,68,2021-06-10 04:52:49,77,Sales,France,39,Admin,France,50,6
389,236,2021-06-10 04:58:51,72,Sales,France,39,Sales,US,58,6
389,236,2021-06-10 05:59:36,73,Sales,France,39,Sales,US,58,6
389,68,2021-06-10 05:59:53,16,Sales,France,39,Admin,France,50,6
389,467,2021-06-10 06:04:27,85,Sales,France,39,Operations,US,28,6
286,468,2021-06-10 06:11:32,49,Sales,UK,52,Admin,US,35,6
389,236,2021-06-10 06:27:37,26,Sales,France,39,Sales,US,58,6
469,463,2021-06-10 06:30:44,10,Operations,France,54,Sales,France,30,6
469,463,2021-06-10 06:36:55,60,Operations,France,54,Sales,France,30,6
469,463,2021-06-10 06:51:48,54,Operations,France,54,Sales,France,30,6
469,463,2021-06-10 07:01:52,80,Operations,France,54,Sales,France,30,6
317,309,2021-06-10 07:42:39,40,Operations,US,37,Operations,US,38,6
483,368,2021-06-10 08:16:39,47,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 08:22:50,67,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 08:30:08,27,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 08:33:16,41,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 08:52:45,33,Sales,France,25,Operations,Brasil,24,6
317,281,2021-06-10 09:14:36,22,Operations,US,37,Sales,France,35,6
483,368,2021-06-10 09:18:31,54,Sales,France,25,Operations,Brasil,24,6
317,429,2021-06-10 09:18:36,18,Operations,US,37,Engineering,Brasil,31,6
483,479,2021-06-10 09:20:08,54,Sales,France,25,Admin,US,44,6
483,479,2021-06-10 09:23:42,27,Sales,France,25,Admin,US,44,6
483,368,2021-06-10 09:24:22,49,Sales,France,25,Operations,Brasil,24,6
389,68,2021-06-10 09:25:25,73,Sales,France,39,Admin,France,50,6
317,479,2021-06-10 09:25:54,49,Operations,US,37,Admin,US,44,6
389,236,2021-06-10 09:27:32,33,Sales,France,39,Sales,US,58,6
389,62,2021-06-10 09:28:21,10,Sales,France,39,Operations,France,34,6
483,368,2021-06-10 09:40:48,72,Sales,France,25,Operations,Brasil,24,6
128,493,2021-06-10 09:43:49,50,Sales,France,47,Admin,France,49,6
389,236,2021-06-10 09:47:05,76,Sales,France,39,Sales,US,58,6
389,236,2021-06-10 10:13:33,81,Sales,France,39,Sales,US,58,6
483,368,2021-06-10 10:16:57,52,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 10:23:14,49,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 10:27:18,47,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 10:29:18,13,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 10:31:24,63,Sales,France,25,Operations,Brasil,24,6
483,368,2021-06-10 10:36:01,66,Sales,France,25,Operations,Brasil,24,6
389,263,2021-06-10 10:41:17,23,Sales,France,39,Operations,France,35,6
389,236,2021-06-10 10:53:01,28,Sales,France,39,Sales,US,58,6
344,263,2021-06-10 10:57:30,37,Sales,US,35,Operations,France,35,6
483,368,2021-06-10 11:00:45,13,Sales,France,25,Operations,Brasil,24,6
332,263,2021-06-10 11:26:19,39,Operations,US,40,Operations,France,35,6
221,368,2021-06-10 11:33:23,47,IT,Germany,54,Operations,Brasil,24,6
128,325,2021-06-10 12:12:50,43,Sales,France,47,Engineering,US,38,6
128,62,2021-06-10 12:13:51,14,Sales,France,47,Operations,France,34,6
128,62,2021-06-10 12:22:35,82,Sales,France,47,Operations,France,34,6
128,62,2021-06-10 12:29:44,82,Sales,France,47,Operations,France,34,6
483,368,2021-06-10 16:27:47,61,Sales,France,25,Operations,Brasil,24,6
344,263,2021-06-10 18:45:47,45,Sales,US,35,Operations,France,35,6
344,194,2021-06-10 18:46:47,57,Sales,US,35,Admin,US,28,6
509,454,2021-06-10 19:48:23,42,Admin,US,39,Admin,US,47,6
260,236,2021-06-10 20:00:14,21,Operations,US,48,Sales,US,58,6
260,51,2021-06-10 20:01:49,69,Operations,US,48,Admin,UK,30,6
128,325,2021-06-10 21:14:22,70,Sales,France,47,Engineering,US,38,6
128,325,2021-06-10 21:29:19,13,Sales,France,47,Engineering,US,38,6
317,308,2021-06-10 21:58:39,51,Operations,US,37,Sales,Germany,39,6
422,365,2021-06-10 22:05:22,31,Sales,Brasil,43,Sales,France,26,6
422,460,2021-06-10 22:12:06,54,Sales,Brasil,43,Sales,UK,26,6
518,345,2021-06-10 23:30:29,72,Operations,US,45,Marketing,UK,29,6
483,368,2021-06-10 23:39:13,54,Sales,France,25,Operations,Brasil,24,6
521,305,2021-06-10 23:45:57,51,Operations,US,28,Operations,Brasil,54,6
389,496,2021-06-10 23:54:26,57,Sales,France,39,Sales,France,22,6
469,519,2021-06-11 00:03:56,23,Operations,France,54,Engineering,France,35,6
469,463,2021-06-11 00:12:27,80,Operations,France,54,Sales,France,30,6
422,365,2021-06-11 00:41:39,62,Sales,Brasil,43,Sales,France,26,6
389,424,2021-06-11 03:46:19,20,Sales,France,39,Engineering,Germany,42,6
483,62,2021-06-11 05:01:44,44,Sales,France,25,Operations,France,34,6
483,62,2021-06-11 05:06:08,29,Sales,France,25,Operations,France,34,6
483,62,2021-06-11 05:07:55,45,Sales,France,25,Operations,France,34,6
128,62,2021-06-11 05:24:55,36,Sales,France,47,Operations,France,34,6
389,482,2021-06-11 06:27:52,42,Sales,France,39,Engineering,US,43,6
389,424,2021-06-11 06:29:11,27,Sales,France,39,Engineering,Germany,42,6
389,467,2021-06-11 06:43:25,75,Sales,France,39,Operations,US,28,6
